DateTime,Final Fantasy XIV Player Count,Path of Exile Player Count,Elder Scroll Online Player Count
5/1/2015,5378,7639,2527
5/2/2015,6053,9259,3025
5/3/2015,6605,8717,3231
5/4/2015,6175,7930,2848
5/5/2015,5355,7120,2405
5/6/2015,5173,6731,2225
5/7/2015,5215,6614,2316
5/8/2015,5257,9572,2463
5/9/2015,6008,9714,2955
5/10/2015,6255,9817,2999
5/11/2015,5742,8254,2658
5/12/2015,5536,7863,2379
5/13/2015,5480,7629,2342
5/14/2015,5608,7444,2367
5/15/2015,5503,7634,2394
5/16/2015,6262,8401,2785
5/17/2015,6675,8644,2963
5/18/2015,6215,7406,2587
5/19/2015,5273,7007,2158
5/20/2015,5138,6694,2161
5/21/2015,5012,6721,2080
5/22/2015,4995,7016,2232
5/23/2015,5599,7555,2591
5/24/2015,6259,7947,2756
5/25/2015,6331,7619,2769
5/26/2015,5975,6674,2430
5/27/2015,5375,6417,2108
5/28/2015,5261,6112,2007
5/29/2015,5351,6176,2152
5/30/2015,6223,7021,2520
5/31/2015,6694,7709,2915
6/1/2015,6299,6515,2575
6/2/2015,5541,5950,2382
6/3/2015,5668,5504,2298
6/4/2015,5750,5575,2363
6/5/2015,5722,5633,2329
6/6/2015,6376,6132,2779
6/7/2015,6964,6729,3065
6/8/2015,6490,5893,2789
6/9/2015,5905,5782,2762
6/10/2015,5866,5591,2612
6/11/2015,5734,5384,2575
6/12/2015,5613,5125,2685
6/13/2015,6429,5563,3118
6/14/2015,6953,5904,3351
6/15/2015,6502,5149,3098
6/16/2015,5927,5253,3001
6/17/2015,6318,5154,2852
6/18/2015,6041,5182,2817
6/19/2015,10838,5667,2744
6/20/2015,10967,5992,3076
6/21/2015,11325,6144,3290
6/22/2015,10490,5406,2861
6/23/2015,10598,5297,2750
6/24/2015,10336,5219,2719
6/25/2015,10041,5242,2555
6/26/2015,9887,4966,2597
6/27/2015,10997,5511,3097
6/28/2015,11945,6071,3360
6/29/2015,11415,5321,3301
6/30/2015,9801,4908,3345
7/1/2015,9495,4973,3091
7/2/2015,9280,4819,3005
7/3/2015,9808,4932,3154
7/4/2015,9932,4864,3079
7/5/2015,11131,5587,3540
7/6/2015,10723,5000,3228
7/7/2015,10076,5354,3051
7/8/2015,9791,5308,3003
7/9/2015,9354,5277,2887
7/10/2015,9075,28024,2875
7/11/2015,10074,28916,3114
7/12/2015,11069,32297,3588
7/13/2015,10580,29644,3304
7/14/2015,9202,28567,2947
7/15/2015,9027,27086,2742
7/16/2015,8670,26026,2727
7/17/2015,8481,25507,2715
7/18/2015,9534,27113,3214
7/19/2015,10492,28861,3480
7/20/2015,9665,26445,3163
7/21/2015,9271,24675,2812
7/22/2015,8984,23436,2649
7/23/2015,8794,23743,2641
7/24/2015,8509,22608,3479
7/25/2015,9621,24701,4658
7/26/2015,10404,26639,5959
7/27/2015,9915,23898,5681
7/28/2015,9015,22119,5669
7/29/2015,8561,20573,5201
7/30/2015,8169,20572,4700
7/31/2015,7937,19886,4308
8/1/2015,8946,21207,4621
8/2/2015,9941,23220,5036
8/3/2015,9343,20769,4541
